origin,destination,total_ridership,origin_label,destination_label,log_ridership
AG04: PWTC,AG06: Bandaraya,59660,PWTC,Bandaraya,4.775683249026044
AG04: PWTC,AG07: Masjid Jamek,22056,PWTC,Masjid Jamek,4.343526753097717
AG04: PWTC,AG10: Pudu,12560,PWTC,Pudu,4.098989639401177
AG04: PWTC,AG18: Ampang,9573,PWTC,Ampang,3.981048058913173
AG04: PWTC,KG06: Kota Damansara,996,PWTC,Kota Damansara,2.998259338423699
AG04: PWTC,KG07: Surian,1470,PWTC,Surian,3.167317334748176
AG04: PWTC,KG08: Mutiara Damansara,2396,PWTC,Mutiara Damansara,3.3794868137172736
AG04: PWTC,KG09: Bandar Utama,2455,PWTC,Bandar Utama,3.3900514964589874
AG04: PWTC,KG10: TTDI,1285,PWTC,TTDI,3.1089031276673134
AG04: PWTC,KG13: Pusat Bandar Damansara,2369,PWTC,Pusat Bandar Damansara,3.374565060722765
AG04: PWTC,KG14: Semantan,2056,PWTC,Semantan,3.313023110323238
AG04: PWTC,KG15: Muzium Negara,1173,PWTC,Muzium Negara,3.0692980121155293
AG04: PWTC,KG16: Pasar Seni,2445,PWTC,Pasar Seni,3.388278863459639
AG04: PWTC,KG18: Bukit Bintang,6890,PWTC,Bukit Bintang,3.8382192219076257
AG04: PWTC,KG20: Tun Razak Exchange,9706,PWTC,Tun Razak Exchange,3.987040286979267
AG04: PWTC,KG21: Cochrane,4015,PWTC,Cochrane,3.6036855496146996
AG04: PWTC,KG22: Maluri,5738,PWTC,Maluri,3.7587605439099794
AG04: PWTC,KG25: Taman Mutiara,3004,PWTC,Taman Mutiara,3.4776999283321306
AG04: PWTC,KG26: Taman Connaught,1669,PWTC,Taman Connaught,3.222456336679247
AG04: PWTC,KG35: Kajang,3620,PWTC,Kajang,3.558708570533166
AG04: PWTC,KJ02: Taman Melati,2920,PWTC,Taman Melati,3.4653828514484184
AG04: PWTC,KJ03: Wangsa Maju,3335,PWTC,Wangsa Maju,3.523095838252568
AG04: PWTC,KJ04: Sri Rampai,2598,PWTC,Sri Rampai,3.414639146737009
AG04: PWTC,KJ09: Ampang Park,1688,PWTC,Ampang Park,3.2273724422896364
AG04: PWTC,KJ10: KLCC,17489,PWTC,KLCC,4.242764977752096
AG04: PWTC,KJ13: Masjid Jamek,40505,PWTC,Masjid Jamek,4.607508636507978
AG04: PWTC,KJ14: Pasar Seni,7693,PWTC,Pasar Seni,3.8860957324377474
AG04: PWTC,KJ15: KL Sentral,17233,PWTC,KL Sentral,4.236360888012924
AG04: PWTC,KJ16: Bank Rakyat Bangsar,4653,PWTC,Bank Rakyat Bangsar,3.667733052533267
AG04: PWTC,KJ17: Abdullah Hukum,8752,PWTC,Abdullah Hukum,3.9421073089893555
AG04: PWTC,KJ18: Kerinchi,2746,PWTC,Kerinchi,3.4387005329007363
AG04: PWTC,KJ19: Universiti,2788,PWTC,Universiti,3.4452927694259716
AG04: PWTC,KJ21: Asia Jaya,3816,PWTC,Asia Jaya,3.5816083660320577
AG04: PWTC,KJ28: Subang Jaya,1833,PWTC,Subang Jaya,3.2631624649622166
AG04: PWTC,MR01: KL Sentral,2193,PWTC,KL Sentral,3.341038631677523
AG04: PWTC,MR04: Hang Tuah,10932,PWTC,Hang Tuah,4.038699623020623
AG04: PWTC,MR05: Imbi,5261,PWTC,Imbi,3.721068301797159
AG04: PWTC,MR06: Bukit Bintang,11679,PWTC,Bukit Bintang,4.067405658437824
AG04: PWTC,SP15: Bandar Tasik Selatan,13853,PWTC,Bandar Tasik Selatan,4.141543834220653
AG06: Bandaraya,AG04: PWTC,66051,Bandaraya,PWTC,4.819879397138954
AG06: Bandaraya,AG07: Masjid Jamek,17771,Bandaraya,Masjid Jamek,4.249711866874659
AG06: Bandaraya,AG10: Pudu,15895,Bandaraya,Pudu,4.201260532250791
AG06: Bandaraya,AG18: Ampang,28800,Bandaraya,Ampang,4.459392487759231
AG06: Bandaraya,KG06: Kota Damansara,2319,Bandaraya,Kota Damansara,3.3653007486379876
AG06: Bandaraya,KG07: Surian,2381,Bandaraya,Surian,3.37675939540488
AG06: Bandaraya,KG08: Mutiara Damansara,2475,Bandaraya,Mutiara Damansara,3.3935752032695876
AG06: Bandaraya,KG09: Bandar Utama,2761,Bandaraya,Bandar Utama,3.4410664066392633
