date,Bus,Rail
2022-01-01,113916.0,271928.0
2022-01-02,103221.0,225843.0
2022-01-03,142653.0,353129.0
2022-01-04,141753.0,362964.0
2022-01-05,144365.0,366186.0
2022-01-06,143964.0,365030.0
2022-01-07,144867.0,376551.0
2022-01-08,113975.0,262715.0
2022-01-09,112524.0,226546.0
2022-01-10,162631.0,375407.0
2022-01-11,162092.0,375879.0
2022-01-12,160914.0,376329.0
2022-01-13,158299.0,372269.0
2022-01-14,154635.0,383222.0
2022-01-15,113831.0,253984.0
2022-01-16,108317.0,218219.0
2022-01-17,156230.0,362972.0
2022-01-18,103248.0,217576.0
2022-01-19,161342.0,384664.0
2022-01-20,159659.0,380837.0
2022-01-21,158521.0,391922.0
2022-01-22,107464.0,192824.0
2022-01-23,102121.0,209214.0
2022-01-24,158816.0,376655.0
2022-01-25,161250.0,384362.0
2022-01-26,162672.0,389404.0
2022-01-27,159062.0,384578.0
2022-01-28,157135.0,400265.0
2022-01-29,111895.0,254380.0
2022-01-30,107190.0,224722.0
2022-01-31,128611.0,293809.0
2022-02-01,112222.0,251516.0
2022-02-02,105155.0,207358.0
2022-02-03,117643.0,225643.0
2022-02-04,125164.0,265661.0
2022-02-05,103014.0,202335.0
2022-02-06,100661.0,181553.0
2022-02-07,152764.0,346600.0
2022-02-08,150802.0,342988.0
2022-02-09,148367.0,332454.0
2022-02-10,143057.0,325659.0
2022-02-11,145452.0,331795.0
2022-02-12,106370.0,216967.0
2022-02-13,102546.0,192504.0
2022-02-14,148179.0,326638.0
2022-02-15,146344.0,320173.0
2022-02-16,148364.0,319599.0
2022-02-17,143302.0,313011.0
2022-02-18,138910.0,314951.0
2022-02-19,104476.0,212252.0
2022-02-20,96776.0,181342.0
2022-02-21,139616.0,307370.0
2022-02-22,138381.0,306538.0
2022-02-23,138416.0,307455.0
2022-02-24,131126.0,296918.0
2022-02-25,132405.0,308782.0
2022-02-26,100445.0,217778.0
2022-02-27,93891.0,192422.0
2022-02-28,133576.0,306355.0
2022-03-01,134521.0,308098.0
2022-03-02,137007.0,314051.0
2022-03-03,134557.0,311220.0
2022-03-04,129513.0,313189.0
2022-03-05,100685.0,216430.0
2022-03-06,105026.0,210752.0
2022-03-07,136040.0,334683.0
2022-03-08,133503.0,323836.0
2022-03-09,139665.0,327408.0
2022-03-10,136559.0,325894.0
2022-03-11,133575.0,328007.0
2022-03-12,104287.0,229750.0
2022-03-13,102394.0,213354.0
2022-03-14,136849.0,322372.0
2022-03-15,136988.0,325397.0
2022-03-16,138090.0,330675.0
2022-03-17,136436.0,327426.0
2022-03-18,136505.0,341251.0
2022-03-19,108511.0,248608.0
2022-03-20,104422.0,218221.0
2022-03-21,139642.0,322141.0
2022-03-22,137230.0,325604.0
2022-03-23,141839.0,335525.0
2022-03-24,137609.0,338659.0
2022-03-25,139875.0,363141.0
2022-03-26,112368.0,271882.0
2022-03-27,108294.0,238638.0
2022-03-28,142792.0,344330.0
2022-03-29,143528.0,351011.0
2022-03-30,146183.0,368716.0
2022-03-31,144259.0,381106.0
2022-04-01,157185.0,414344.0
2022-04-02,124184.0,296037.0
2022-04-03,96416.0,183948.0
2022-04-04,153649.0,351486.0
2022-04-05,152816.0,361073.0
2022-04-06,157153.0,370530.0
2022-04-07,155056.0,376528.0
2022-04-08,157035.0,364344.0
2022-04-09,107485.0,238741.0
2022-04-10,107818.0,217521.0
2022-04-11,160442.0,379826.0
2022-04-12,161109.0,385566.0
2022-04-13,162478.0,395884.0
2022-04-14,161092.0,395513.0
2022-04-15,159730.0,416214.0
2022-04-16,114140.0,282424.0
2022-04-17,110856.0,241829.0
2022-04-18,157566.0,380488.0
2022-04-19,102542.0,250474.0
2022-04-20,167914.0,414202.0
2022-04-21,165137.0,422503.0
2022-04-22,165272.0,457232.0
2022-04-23,121020.0,367806.0
2022-04-24,113600.0,320365.0
2022-04-25,164122.0,456710.0
2022-04-26,168788.0,461271.0
2022-04-27,170969.0,473431.0
2022-04-28,168858.0,482259.0
2022-04-29,166921.0,496865.0
2022-04-30,123464.0,344946.0
2022-05-01,132338.0,318358.0
2022-05-02,110995.0,288047.0
2022-05-03,135300.0,327531.0
2022-05-04,116093.0,282138.0
2022-05-05,128346.0,340098.0
2022-05-06,125942.0,345423.0
2022-05-07,111322.0,287627.0
2022-05-08,116210.0,275801.0
2022-05-09,173480.0,431691.0
2022-05-10,176537.0,447638.0
2022-05-11,178574.0,457528.0
2022-05-12,177928.0,461725.0
2022-05-13,180004.0,495800.0
2022-05-14,135376.0,366899.0
2022-05-15,137088.0,344009.0
2022-05-16,113429.0,293658.0
2022-05-17,183596.0,470150.0
2022-05-18,183250.0,478326.0
2022-05-19,181283.0,479042.0
2022-05-20,184431.0,497501.0
2022-05-21,134672.0,346306.0
2022-05-22,129137.0,302633.0
2022-05-23,177640.0,467072.0
2022-05-24,181282.0,478843.0
2022-05-25,179465.0,486563.0
2022-05-26,184746.0,497605.0
2022-05-27,181061.0,522024.0
2022-05-28,135150.0,385402.0
2022-05-29,123992.0,321316.0
2022-05-30,176799.0,485239.0
2022-05-31,180518.0,497569.0
2022-06-01,184863.0,522981.0
2022-06-02,182094.0,515828.0
2022-06-03,182958.0,546591.0
2022-06-04,130459.0,403014.0
2022-06-05,136371.0,415365.0
2022-06-06,127239.0,386180.0
2022-06-07,173005.0,543070.0
2022-06-08,177412.0,584579.0
2022-06-09,171965.0,568113.0
2022-06-10,169819.0,568108.0
2022-06-11,130831.0,454730.0
2022-06-12,132052.0,343032.0
2022-06-13,182911.0,493091.0
2022-06-14,184746.0,541021.0
2022-06-15,187132.0,514028.0
2022-06-16,184419.0,559616.0
2022-06-17,185157.0,620153.0
2022-06-18,142823.0,506672.0
2022-06-19,140032.0,482283.0
2022-06-20,189486.0,596794.0
2022-06-21,195583.0,615945.0
2022-06-22,192939.0,625484.0
2022-06-23,196074.0,629556.0
2022-06-24,190764.0,665001.0
2022-06-25,155719.0,583561.0
2022-06-26,144248.0,511489.0
2022-06-27,194863.0,616315.0
2022-06-28,196817.0,625941.0
2022-06-29,197328.0,644440.0
2022-06-30,198441.0,645360.0
2022-07-01,202435.0,692100.0
2022-07-02,156370.0,598357.0
2022-07-03,151984.0,530853.0
2022-07-04,201134.0,621425.0
2022-07-05,205265.0,638049.0
2022-07-06,205779.0,657845.0
2022-07-07,196272.0,663181.0
2022-07-08,199196.0,666283.0
2022-07-09,155157.0,489916.0
2022-07-10,139712.0,490020.0
2022-07-11,144185.0,427833.0
2022-07-12,179761.0,701617.0
2022-07-13,199298.0,632955.0
2022-07-14,198491.0,637482.0
2022-07-15,200139.0,656891.0
2022-07-16,139829.0,400854.0
2022-07-17,125984.0,329512.0
2022-07-18,185917.0,539392.0
2022-07-19,188655.0,555062.0
2022-07-20,192892.0,566725.0
2022-07-21,188260.0,562549.0
2022-07-22,186285.0,568069.0
2022-07-23,135020.0,380496.0
2022-07-24,121962.0,323186.0
2022-07-25,184339.0,548074.0
2022-07-26,191006.0,568819.0
2022-07-27,188025.0,567592.0
2022-07-28,187055.0,564676.0
2022-07-29,190548.0,579609.0
2022-07-30,131411.0,418436.0
2022-07-31,127920.0,362057.0
2022-08-01,190149.0,563172.0
2022-08-02,191880.0,578310.0
2022-08-03,191146.0,585573.0
2022-08-04,202084.0,592126.0
2022-08-05,207128.0,606598.0
2022-08-06,174117.0,426389.0
2022-08-07,171913.0,374014.0
2022-08-08,213394.0,574066.0
2022-08-09,214216.0,593295.0
2022-08-10,219451.0,603174.0
2022-08-11,213109.0,593502.0
2022-08-12,212639.0,598616.0
2022-08-13,177440.0,403397.0
2022-08-14,183089.0,347543.0
2022-08-15,191120.0,570424.0
2022-08-16,196263.0,591788.0
2022-08-17,195873.0,599715.0
2022-08-18,196232.0,607038.0
2022-08-19,194753.0,601752.0
2022-08-20,134791.0,393764.0
2022-08-21,128637.0,345309.0
2022-08-22,191533.0,566686.0
2022-08-23,193280.0,596776.0
2022-08-24,196462.0,608379.0
2022-08-25,193940.0,598625.0
2022-08-26,193709.0,619133.0
2022-08-27,137255.0,419144.0
2022-08-28,127290.0,364187.0
2022-08-29,189384.0,593324.0
2022-08-30,201400.0,656980.0
2022-08-31,142043.0,621198.0
2022-09-01,193839.0,607292.0
2022-09-02,192931.0,624455.0
2022-09-03,137928.0,433073.0
2022-09-04,128702.0,397598.0
2022-09-05,184657.0,622550.0
2022-09-06,188348.0,654005.0
2022-09-07,191937.0,678600.0
2022-09-08,190762.0,667974.0
2022-09-09,184946.0,651388.0
2022-09-10,142533.0,528608.0
2022-09-11,132372.0,371676.0
2022-09-12,199878.0,609639.0
2022-09-13,203193.0,629339.0
2022-09-14,201037.0,637828.0
2022-09-15,200906.0,661273.0
2022-09-16,132389.0,438720.0
2022-09-17,132658.0,403099.0
2022-09-18,125030.0,348892.0
2022-09-19,195165.0,585480.0
2022-09-20,203064.0,615266.0
2022-09-21,203808.0,625670.0
2022-09-22,195884.0,620045.0
2022-09-23,201672.0,628552.0
2022-09-24,144821.0,431317.0
2022-09-25,133087.0,360517.0
2022-09-26,196575.0,572826.0
2022-09-27,200159.0,618791.0
2022-09-28,197927.0,629401.0
2022-09-29,197659.0,624297.0
2022-09-30,194338.0,635610.0
2022-10-01,145742.0,447662.0
2022-10-02,140564.0,388762.0
2022-10-03,200240.0,620064.0
2022-10-04,203022.0,643890.0
2022-10-05,205245.0,654669.0
2022-10-06,202994.0,654001.0
2022-10-07,200053.0,657952.0
2022-10-08,146031.0,462572.0
2022-10-09,142357.0,427871.0
2022-10-10,124645.0,376858.0
2022-10-11,200778.0,640649.0
2022-10-12,195972.0,646074.0
2022-10-13,203140.0,645384.0
2022-10-14,202846.0,648858.0
2022-10-15,140054.0,424301.0
2022-10-16,137867.0,374971.0
2022-10-17,206397.0,614703.0
2022-10-18,210257.0,637693.0
2022-10-19,213572.0,653907.0
2022-10-20,210700.0,659323.0
2022-10-21,207533.0,680675.0
2022-10-22,156708.0,480809.0
2022-10-23,164247.0,459189.0
2022-10-24,125000.0,401494.0
2022-10-25,173304.0,589058.0
2022-10-26,177375.0,596803.0
2022-10-27,190919.0,604601.0
2022-10-28,193310.0,610752.0
2022-10-29,139962.0,422646.0
2022-10-30,129703.0,353603.0
2022-10-31,192978.0,593074.0
2022-11-01,206973.0,624202.0
2022-11-02,203903.0,626933.0
2022-11-03,204511.0,632053.0
2022-11-04,204035.0,642004.0
2022-11-05,146467.0,429353.0
2022-11-06,139026.0,374480.0
2022-11-07,205522.0,591801.0
2022-11-08,221454.0,549029.0
2022-11-09,237891.0,436540.0
2022-11-10,219830.0,425293.0
2022-11-11,218644.0,442699.0
2022-11-12,162010.0,309629.0
2022-11-13,152748.0,272488.0
2022-11-14,194303.0,539683.0
2022-11-15,200469.0,605659.0
2022-11-16,206464.0,658884.0
2022-11-17,189787.0,652394.0
2022-11-18,121164.0,375506.0
2022-11-19,111810.0,324088.0
2022-11-20,119670.0,342767.0
2022-11-21,179621.0,558293.0
2022-11-22,203193.0,614963.0
2022-11-23,205230.0,631839.0
2022-11-24,204696.0,633643.0
2022-11-25,204532.0,637352.0
2022-11-26,144599.0,480868.0
2022-11-27,132961.0,396738.0
2022-11-28,122447.0,361948.0
2022-11-29,203255.0,552663.0
2022-11-30,203783.0,643030.0
2022-12-01,207950.0,648850.0
2022-12-02,206234.0,663416.0
2022-12-03,153098.0,491339.0
2022-12-04,143629.0,406723.0
2022-12-05,199243.0,623587.0
2022-12-06,202969.0,647135.0
2022-12-07,203838.0,662639.0
2022-12-08,200896.0,661040.0
2022-12-09,198865.0,674593.0
2022-12-10,145281.0,466577.0
2022-12-11,149403.0,433153.0
2022-12-12,167473.0,594215.0
2022-12-13,194300.0,653122.0
2022-12-14,195138.0,659018.0
2022-12-15,191901.0,660536.0
2022-12-16,189768.0,663480.0
2022-12-17,151677.0,540394.0
2022-12-18,143733.0,497054.0
2022-12-19,185725.0,617870.0
2022-12-20,190005.0,641927.0
2022-12-21,187037.0,650113.0
2022-12-22,182661.0,634354.0
2022-12-23,181709.0,653239.0
2022-12-24,148133.0,543745.0
2022-12-25,150791.0,536064.0
2022-12-26,125209.0,427101.0
2022-12-27,176693.0,588173.0
2022-12-28,175407.0,606599.0
2022-12-29,172725.0,603123.0
2022-12-30,175622.0,607334.0
2022-12-31,151107.0,572270.0
2023-01-01,153844.0,475437.0
2023-01-02,124539.0,364595.0
2023-01-03,205108.0,676478.0
2023-01-04,205158.0,647313.0
