date,total_ridership,concentration,year
2019-01-01,19447972.0,0.636,2019
2019-02-01,16154104.0,0.588,2019
2019-03-01,20157497.0,0.669,2019
2019-04-01,20055305.0,0.644,2019
2019-05-01,19295470.0,0.627,2019
2019-06-01,17619475.0,0.585,2019
2019-07-01,21036499.0,0.629,2019
2019-08-01,20420797.0,0.708,2019
2019-09-01,18631618.0,0.888,2019
2019-10-01,21429132.0,0.629,2019
2019-11-01,20938307.0,0.633,2019
2019-12-01,21107563.0,0.565,2019
2020-01-01,20077950.0,0.553,2020
2020-02-01,19194226.0,0.544,2020
2020-03-01,11314882.0,0.542,2020
2020-04-01,1253891.0,0.473,2020
2020-05-01,3800296.0,0.496,2020
2020-06-01,7597898.0,0.529,2020
2020-07-01,10919988.0,0.545,2020
2020-08-01,11031750.0,0.585,2020
2020-09-01,12309875.0,0.555,2020
2020-10-01,8320896.0,0.548,2020
2020-11-01,6717138.0,0.549,2020
2020-12-01,7795826.0,0.62,2020
2021-01-01,5667812.0,0.549,2021
2021-02-01,5259755.0,0.533,2021
2021-03-01,8573236.0,0.538,2021
2021-04-01,9104944.0,0.563,2021
2021-05-01,5548710.0,0.526,2021
2021-06-01,2271348.0,0.488,2021
2021-07-01,2473266.0,0.518,2021
2021-08-01,3092748.0,0.494,2021
2021-09-01,4761029.0,0.531,2021
2021-10-01,6668368.0,0.564,2021
2021-11-01,8133875.0,0.539,2021
2021-12-01,9306835.0,0.562,2021
2022-01-01,12993407.0,0.572,2022
2022-02-01,10067274.0,0.515,2022
2022-03-01,12289836.0,0.535,2022
2022-04-01,14003808.0,0.575,2022
2022-05-01,15561597.0,0.537,2022
2022-06-01,19313692.0,0.513,2022
2022-07-01,19653284.0,0.534,2022
2022-08-01,19958813.0,0.508,2022
2022-09-01,19513196.0,0.523,2022
2022-10-01,19699862.0,0.501,2022
2022-11-01,18119133.0,0.515,2022
2022-12-01,20758250.0,0.503,2022
