origin,dest,ridership,orig_lat,orig_lon,dest_lat,dest_lon
Bandar Tasek Selatan,Bandar Tasek Selatan,846,3.0761,101.7114,3.0761,101.7114
Bandar Tasek Selatan,Bangi,9008,3.0761,101.7114,2.9029,101.7867
Bandar Tasek Selatan,Bank Negara,220,3.0761,101.7114,3.1547,101.6931
Bandar Tasek Selatan,Batang Kali,214,3.0761,101.7114,3.4674,101.6394
Bandar Tasek Selatan,Batu Caves,6756,3.0761,101.7114,3.2379,101.6933
Bandar Tasek Selatan,Batu Kentonmen,72,3.0761,101.7114,3.1936,101.6803
Bandar Tasek Selatan,KL Sentral,8620,3.0761,101.7114,3.1344,101.6861
Bandar Tasek Selatan,Kajang,10192,3.0761,101.7114,2.9831,101.7903
Bandar Tasek Selatan,Kampung Batu,326,3.0761,101.7114,3.2025,101.6681
Bandar Tasek Selatan,Kepong Sentral,85,3.0761,101.7114,3.2014,101.6291
Bandar Tasek Selatan,Klang,555,3.0761,101.7114,3.0426,101.4496
Bandar Tasek Selatan,Kuala Lumpur,548,3.0761,101.7114,3.1397,101.6938
Bandar Tasek Selatan,Midvalley,14647,3.0761,101.7114,3.1189,101.6789
Bandar Tasek Selatan,Nilai,9334,3.0761,101.7114,2.8123,101.7901
Bandar Tasek Selatan,Padang Jawa,124,3.0761,101.7114,3.0487,101.4907
Bandar Tasek Selatan,Rawang,1146,3.0761,101.7114,3.3192,101.5746
Bandar Tasek Selatan,Serdang,4155,3.0761,101.7114,3.0236,101.7144
Bandar Tasek Selatan,Seremban,16632,3.0761,101.7114,2.7186,101.9394
Bandar Tasek Selatan,Shah Alam,311,3.0761,101.7114,3.0564,101.5278
Bandar Tasek Selatan,Subang Jaya,42,3.0761,101.7114,3.0822,101.5858
Bandar Tasek Selatan,Sungai Buloh,347,3.0761,101.7114,3.2064,101.5814
Bandar Tasek Selatan,Taman Wahyu,511,3.0761,101.7114,3.2144,101.6725
Bandar Tasek Selatan,Tanjong Malim,836,3.0761,101.7114,3.6828,101.5218
Bangi,Bandar Tasek Selatan,8238,2.9029,101.7867,3.0761,101.7114
Bangi,Bangi,159,2.9029,101.7867,2.9029,101.7867
Bangi,Bank Negara,2354,2.9029,101.7867,3.1547,101.6931
Bangi,Batang Kali,31,2.9029,101.7867,3.4674,101.6394
Bangi,Batu Caves,1086,2.9029,101.7867,3.2379,101.6933
Bangi,Batu Kentonmen,24,2.9029,101.7867,3.1936,101.6803
Bangi,KL Sentral,17477,2.9029,101.7867,3.1344,101.6861
Bangi,Kajang,24172,2.9029,101.7867,2.9831,101.7903
Bangi,Kampung Batu,97,2.9029,101.7867,3.2025,101.6681
Bangi,Kepong Sentral,9,2.9029,101.7867,3.2014,101.6291
Bangi,Klang,79,2.9029,101.7867,3.0426,101.4496
Bangi,Kuala Lumpur,1554,2.9029,101.7867,3.1397,101.6938
Bangi,Midvalley,5320,2.9029,101.7867,3.1189,101.6789
Bangi,Nilai,446,2.9029,101.7867,2.8123,101.7901
Bangi,Padang Jawa,30,2.9029,101.7867,3.0487,101.4907
Bangi,Rawang,130,2.9029,101.7867,3.3192,101.5746
Bangi,Serdang,605,2.9029,101.7867,3.0236,101.7144
Bangi,Seremban,1885,2.9029,101.7867,2.7186,101.9394
Bangi,Shah Alam,59,2.9029,101.7867,3.0564,101.5278
Bangi,Subang Jaya,4,2.9029,101.7867,3.0822,101.5858
Bangi,Sungai Buloh,48,2.9029,101.7867,3.2064,101.5814
Bangi,Taman Wahyu,227,2.9029,101.7867,3.2144,101.6725
Bangi,Tanjong Malim,106,2.9029,101.7867,3.6828,101.5218
Bank Negara,Bandar Tasek Selatan,228,3.1547,101.6931,3.0761,101.7114
Bank Negara,Bangi,2614,3.1547,101.6931,2.9029,101.7867
Bank Negara,Bank Negara,64,3.1547,101.6931,3.1547,101.6931
Bank Negara,Batang Kali,2920,3.1547,101.6931,3.4674,101.6394
Bank Negara,Batu Caves,21382,3.1547,101.6931,3.2379,101.6933
Bank Negara,Batu Kentonmen,443,3.1547,101.6931,3.1936,101.6803
Bank Negara,KL Sentral,5558,3.1547,101.6931,3.1344,101.6861
Bank Negara,Kajang,702,3.1547,101.6931,2.9831,101.7903
Bank Negara,Kampung Batu,777,3.1547,101.6931,3.2025,101.6681
Bank Negara,Kepong Sentral,1045,3.1547,101.6931,3.2014,101.6291
Bank Negara,Klang,859,3.1547,101.6931,3.0426,101.4496
Bank Negara,Kuala Lumpur,1446,3.1547,101.6931,3.1397,101.6938
Bank Negara,Midvalley,881,3.1547,101.6931,3.1189,101.6789
Bank Negara,Nilai,1604,3.1547,101.6931,2.8123,101.7901
Bank Negara,Padang Jawa,561,3.1547,101.6931,3.0487,101.4907
Bank Negara,Rawang,8417,3.1547,101.6931,3.3192,101.5746
Bank Negara,Serdang,413,3.1547,101.6931,3.0236,101.7144
Bank Negara,Seremban,2228,3.1547,101.6931,2.7186,101.9394
Bank Negara,Shah Alam,1242,3.1547,101.6931,3.0564,101.5278
Bank Negara,Subang Jaya,226,3.1547,101.6931,3.0822,101.5858
Bank Negara,Sungai Buloh,3005,3.1547,101.6931,3.2064,101.5814
Bank Negara,Taman Wahyu,1331,3.1547,101.6931,3.2144,101.6725
Bank Negara,Tanjong Malim,2959,3.1547,101.6931,3.6828,101.5218
Batang Kali,Bandar Tasek Selatan,209,3.4674,101.6394,3.0761,101.7114
Batang Kali,Bangi,22,3.4674,101.6394,2.9029,101.7867
Batang Kali,Bank Negara,3567,3.4674,101.6394,3.1547,101.6931
Batang Kali,Batang Kali,32,3.4674,101.6394,3.4674,101.6394
Batang Kali,Batu Caves,219,3.4674,101.6394,3.2379,101.6933
Batang Kali,Batu Kentonmen,1,3.4674,101.6394,3.1936,101.6803
Batang Kali,KL Sentral,13677,3.4674,101.6394,3.1344,101.6861
Batang Kali,Kajang,57,3.4674,101.6394,2.9831,101.7903
Batang Kali,Kampung Batu,4,3.4674,101.6394,3.2025,101.6681
Batang Kali,Kepong Sentral,740,3.4674,101.6394,3.2014,101.6291
Batang Kali,Klang,124,3.4674,101.6394,3.0426,101.4496
Batang Kali,Kuala Lumpur,3332,3.4674,101.6394,3.1397,101.6938
Batang Kali,Midvalley,168,3.4674,101.6394,3.1189,101.6789
Batang Kali,Nilai,65,3.4674,101.6394,2.8123,101.7901
Batang Kali,Padang Jawa,125,3.4674,101.6394,3.0487,101.4907
Batang Kali,Rawang,4355,3.4674,101.6394,3.3192,101.5746
Batang Kali,Serdang,43,3.4674,101.6394,3.0236,101.7144
Batang Kali,Seremban,125,3.4674,101.6394,2.7186,101.9394
Batang Kali,Shah Alam,202,3.4674,101.6394,3.0564,101.5278
Batang Kali,Subang Jaya,99,3.4674,101.6394,3.0822,101.5858
Batang Kali,Sungai Buloh,14998,3.4674,101.6394,3.2064,101.5814
Batang Kali,Taman Wahyu,13,3.4674,101.6394,3.2144,101.6725
Batang Kali,Tanjong Malim,1416,3.4674,101.6394,3.6828,101.5218
Batu Caves,Bandar Tasek Selatan,5102,3.2379,101.6933,3.0761,101.7114
Batu Caves,Bangi,1033,3.2379,101.6933,2.9029,101.7867
Batu Caves,Bank Negara,22531,3.2379,101.6933,3.1547,101.6931
Batu Caves,Batang Kali,158,3.2379,101.6933,3.4674,101.6394
Batu Caves,Batu Caves,103,3.2379,101.6933,3.2379,101.6933
Batu Caves,Batu Kentonmen,2294,3.2379,101.6933,3.1936,101.6803
Batu Caves,KL Sentral,132548,3.2379,101.6933,3.1344,101.6861
Batu Caves,Kajang,4601,3.2379,101.6933,2.9831,101.7903
Batu Caves,Kampung Batu,31315,3.2379,101.6933,3.2025,101.6681
Batu Caves,Kepong Sentral,96,3.2379,101.6933,3.2014,101.6291
Batu Caves,Klang,5332,3.2379,101.6933,3.0426,101.4496
Batu Caves,Kuala Lumpur,36511,3.2379,101.6933,3.1397,101.6938
Batu Caves,Midvalley,7035,3.2379,101.6933,3.1189,101.6789
Batu Caves,Nilai,3098,3.2379,101.6933,2.8123,101.7901
Batu Caves,Padang Jawa,282,3.2379,101.6933,3.0487,101.4907
Batu Caves,Rawang,968,3.2379,101.6933,3.3192,101.5746
Batu Caves,Serdang,2553,3.2379,101.6933,3.0236,101.7144
Batu Caves,Seremban,5661,3.2379,101.6933,2.7186,101.9394
Batu Caves,Shah Alam,1355,3.2379,101.6933,3.0564,101.5278
Batu Caves,Subang Jaya,901,3.2379,101.6933,3.0822,101.5858
Batu Caves,Sungai Buloh,543,3.2379,101.6933,3.2064,101.5814
Batu Caves,Taman Wahyu,4342,3.2379,101.6933,3.2144,101.6725
Batu Caves,Tanjong Malim,489,3.2379,101.6933,3.6828,101.5218
Batu Kentonmen,Bandar Tasek Selatan,60,3.1936,101.6803,3.0761,101.7114
Batu Kentonmen,Bangi,45,3.1936,101.6803,2.9029,101.7867
Batu Kentonmen,Bank Negara,286,3.1936,101.6803,3.1547,101.6931
Batu Kentonmen,Batang Kali,5,3.1936,101.6803,3.4674,101.6394
Batu Kentonmen,Batu Caves,2685,3.1936,101.6803,3.2379,101.6933
Batu Kentonmen,Batu Kentonmen,6,3.1936,101.6803,3.1936,101.6803
Batu Kentonmen,KL Sentral,1363,3.1936,101.6803,3.1344,101.6861
Batu Kentonmen,Kajang,18,3.1936,101.6803,2.9831,101.7903
Batu Kentonmen,Kampung Batu,157,3.1936,101.6803,3.2025,101.6681
Batu Kentonmen,Klang,44,3.1936,101.6803,3.0426,101.4496
Batu Kentonmen,Kuala Lumpur,600,3.1936,101.6803,3.1397,101.6938
Batu Kentonmen,Midvalley,798,3.1936,101.6803,3.1189,101.6789
Batu Kentonmen,Nilai,47,3.1936,101.6803,2.8123,101.7901
Batu Kentonmen,Padang Jawa,1,3.1936,101.6803,3.0487,101.4907
Batu Kentonmen,Rawang,4,3.1936,101.6803,3.3192,101.5746
Batu Kentonmen,Serdang,4,3.1936,101.6803,3.0236,101.7144
Batu Kentonmen,Seremban,184,3.1936,101.6803,2.7186,101.9394
Batu Kentonmen,Shah Alam,12,3.1936,101.6803,3.0564,101.5278
Batu Kentonmen,Subang Jaya,1,3.1936,101.6803,3.0822,101.5858
Batu Kentonmen,Sungai Buloh,7,3.1936,101.6803,3.2064,101.5814
Batu Kentonmen,Taman Wahyu,102,3.1936,101.6803,3.2144,101.6725
Batu Kentonmen,Tanjong Malim,9,3.1936,101.6803,3.6828,101.5218
KL Sentral,Bandar Tasek Selatan,10654,3.1344,101.6861,3.0761,101.7114
KL Sentral,Bangi,17197,3.1344,101.6861,2.9029,101.7867
KL Sentral,Bank Negara,5523,3.1344,101.6861,3.1547,101.6931
KL Sentral,Batang Kali,14758,3.1344,101.6861,3.4674,101.6394
KL Sentral,Batu Caves,129461,3.1344,101.6861,3.2379,101.6933
KL Sentral,Batu Kentonmen,1750,3.1344,101.6861,3.1936,101.6803
KL Sentral,KL Sentral,1550,3.1344,101.6861,3.1344,101.6861
KL Sentral,Kajang,5781,3.1344,101.6861,2.9831,101.7903
KL Sentral,Kampung Batu,7299,3.1344,101.6861,3.2025,101.6681
KL Sentral,Kepong Sentral,13002,3.1344,101.6861,3.2014,101.6291
KL Sentral,Klang,25788,3.1344,101.6861,3.0426,101.4496
KL Sentral,Kuala Lumpur,4998,3.1344,101.6861,3.1397,101.6938
KL Sentral,Midvalley,15374,3.1344,101.6861,3.1189,101.6789
KL Sentral,Nilai,21783,3.1344,101.6861,2.8123,101.7901
KL Sentral,Padang Jawa,8918,3.1344,101.6861,3.0487,101.4907
KL Sentral,Rawang,50522,3.1344,101.6861,3.3192,101.5746
KL Sentral,Serdang,10206,3.1344,101.6861,3.0236,101.7144
KL Sentral,Seremban,49930,3.1344,101.6861,2.7186,101.9394
KL Sentral,Shah Alam,18482,3.1344,101.6861,3.0564,101.5278
KL Sentral,Subang Jaya,1651,3.1344,101.6861,3.0822,101.5858
KL Sentral,Sungai Buloh,7162,3.1344,101.6861,3.2064,101.5814
KL Sentral,Taman Wahyu,11709,3.1344,101.6861,3.2144,101.6725
KL Sentral,Tanjong Malim,52416,3.1344,101.6861,3.6828,101.5218
