year,month_num,month,total_ridership
2019,1,January,19447972.0
2019,2,February,16154104.0
2019,3,March,20157497.0
2019,4,April,20055305.0
2019,5,May,19295470.0
2019,6,June,17619475.0
2019,7,July,21036499.0
2019,8,August,20420797.0
2019,9,September,18631618.0
2019,10,October,21429132.0
2019,11,November,20938307.0
2019,12,December,21107563.0
2020,1,January,20077950.0
2020,2,February,19194226.0
2020,3,March,11314882.0
2020,4,April,1253891.0
2020,5,May,3800296.0
2020,6,June,7597898.0
2020,7,July,10919988.0
2020,8,August,11031750.0
2020,9,September,12309875.0
2020,10,October,8426279.0
2020,11,November,6862420.0
2020,12,December,8082092.0
2021,1,January,5840917.0
2021,2,February,5353886.0
2021,3,March,8765590.0
2021,4,April,9308866.0
2021,5,May,5657887.0
2021,6,June,2304574.0
2021,7,July,2521856.0
2021,8,August,3142352.0
2021,9,September,4831984.0
2021,10,October,6882170.0
2021,11,November,8481569.0
2021,12,December,9755655.0
2022,1,January,14291558.0
2022,2,February,11202041.0
2022,3,March,13530127.0
2022,4,April,15355177.0
2022,5,May,17245546.0
2022,6,June,21486891.0
2022,7,July,22340201.0
2022,8,August,22559717.0
2022,9,September,22241986.0
2022,10,October,22556383.0
2022,11,November,20837820.0
2022,12,December,23777003.0
2023,1,January,22797795.0
2023,2,February,21711232.0
2023,3,March,28012693.0
2023,4,April,24407173.0
2023,5,May,27316509.0
2023,6,June,26940948.0
2023,7,July,28118878.0
2023,8,August,29744725.0
2023,9,September,28621632.0
2023,10,October,32048835.0
2023,11,November,31893255.0
2023,12,December,32706756.0
2024,1,January,32621658.0
2024,2,February,30934880.0
2024,3,March,33742565.0
2024,4,April,31940165.0
2024,5,May,35575745.0
2024,6,June,33236673.0
2024,7,July,36901095.0
2024,8,August,37390224.0
2024,9,September,34853915.0
2024,10,October,38097024.0
2024,11,November,36995568.0
2024,12,December,37763061.0
2025,1,January,36431634.0
2025,2,February,34764721.0
