station,volume,interchanges,dependency_index
KG18: Bukit Bintang,7425312.0,1,7425312.0
KJ10: KLCC,5688637.0,1,5688637.0
KG22: Maluri,3912493.0,1,3912493.0
KJ17: Abdullah Hukum,3817149.0,1,3817149.0
KJ09: Ampang Park,3574917.0,1,3574917.0
KG15: Muzium Negara,3003221.0,1,3003221.0
MR06: Bukit Bintang,2915027.0,1,2915027.0
AG07: Masjid Jamek,2900881.0,1,2900881.0
KG21: Cochrane,2741310.0,1,2741310.0
KG20: Tun Razak Exchange,5280947.0,2,2640473.5
KG09: Bandar Utama,2606196.0,1,2606196.0
KJ03: Wangsa Maju,2340379.0,1,2340379.0
KJ16: Bank Rakyat Bangsar,2335689.0,1,2335689.0
KG35: Kajang,2060526.0,1,2060526.0
KG25: Taman Mutiara,1918240.0,1,1918240.0
