station,origin_total,destination_total,total_movement,station_label
KG18: Bukit Bintang,3316843,3904194.0,7221037.0,Bukit Bintang
KJ10: KLCC,2821813,2722741.0,5544554.0,KLCC
KJ15: KL Sentral,2731366,2681464.0,5412830.0,KL Sentral
KG20: Tun Razak Exchange,2059503,3080576.0,5140079.0,Tun Razak Exchange
KG22: Maluri,1801588,2004165.0,3805753.0,Maluri
KJ17: Abdullah Hukum,1833594,1891044.0,3724638.0,Abdullah Hukum
KJ09: Ampang Park,1742566,1745579.0,3488145.0,Ampang Park
KJ14: Pasar Seni,1613942,1866734.0,3480676.0,Pasar Seni
KG15: Muzium Negara,1404560,1512191.0,2916751.0,Muzium Negara
MR06: Bukit Bintang,1343835,1490850.0,2834685.0,Bukit Bintang
